food,unit,kcal,protein,carb,fat,source
土雞皮蛋,100 g,127.0,12.2,2.3,7.6,TFDA
土雞蛋,100 g,129.0,12.9,1.7,8.1,TFDA
土雞蛋(2022年取樣),100 g,137.0,12.2,1.8,9.3,TFDA
埔里米粉,100 g,358.0,0.5,87.7,0.5,TFDA
培根,100 g,372.0,13.5,0.0,35.6,TFDA
塔菇菜(有機),100 g,14.0,1.9,2.3,0.0,TFDA
壽司(豆皮壽司),100 g,194.0,6.3,31.7,4.7,TFDA
壽司海苔片,100 g,278.0,46.5,32.1,3.7,TFDA
壽司醋,100 g,181.0,,45.2,,TFDA
多多綠茶(全糖),100 g,49.0,1.1,11.0,0.1,TFDA
多鱗四指馬鮁,100 g,146.0,19.0,0.0,7.2,TFDA
多鱗沙鮻,100 g,90.0,18.6,0.6,1.2,TFDA
大口逆鈎鰺,100 g,103.0,21.8,0.1,1.1,TFDA
大口鰜切片(含皮),100 g,166.0,14.7,0.0,11.5,TFDA
大口黑鱸,100 g,130.0,20.7,0.0,4.6,TFDA
大心芥菜,100 g,13.0,1.0,2.5,0.0,TFDA
大文蛤,100 g,21.0,4.4,1.5,0.2,TFDA
大甲鰺,100 g,105.0,21.2,0.4,1.6,TFDA
大番茄平均值(紅色系),100 g,19.0,0.8,4.1,0.1,TFDA
大番茄平均值(綠色系),100 g,22.0,0.7,5.0,0.1,TFDA
大目鮪,100 g,103.0,23.9,0.0,0.1,TFDA
大眼金梭魚,100 g,157.0,21.8,0.0,7.1,TFDA
大管鞭蝦,100 g,88.0,19.8,0.6,0.3,TFDA
大芥菜,100 g,19.0,0.8,3.4,0.5,TFDA
大蒜,100 g,122.0,6.7,26.4,0.2,TFDA
大西洋鮭魚(台灣養殖),100 g,155.0,23.6,0.0,6.0,TFDA
大西洋鮭魚切片(中段),100 g,174.0,20.7,0.0,9.5,TFDA
大西洋鮭魚切片(尾段),100 g,204.0,20.7,0.0,12.8,TFDA
大西洋鮭魚平均值(去皮),100 g,221.0,20.2,0.0,14.9,TFDA
大西洋鮭魚生魚片,100 g,222.0,19.6,0.0,15.3,TFDA
大西洋鮭魚腹肉,100 g,349.0,16.4,0.0,31.0,TFDA
大豆油,100 g,884.0,0.0,0.0,100.0,TFDA
大豆油(卵磷脂強化),100 g,880.0,0.0,0.0,99.6,TFDA
大豆油(多種維生素強化),100 g,883.0,0.0,0.0,99.9,TFDA
大雪梨,100 g,42.0,0.3,11.1,0.1,TFDA
大頭蝦仁,100 g,40.0,8.8,0.0,0.2,TFDA
大餅包小餅(紅豆),100 g,376.0,8.3,48.5,16.5,TFDA
大麥仁,100 g,365.0,8.6,77.1,1.6,TFDA
大麥仁粉,100 g,389.0,7.1,85.0,1.3,TFDA
大麥片,100 g,365.0,8.6,76.7,1.8,TFDA
大黃魚,100 g,142.0,16.8,0.2,7.8,TFDA
天喜菇,100 g,26.0,4.5,2.5,0.5,TFDA
天婦羅,100 g,176.0,12.4,21.0,4.7,TFDA
天貝(黃豆),100 g,187.0,23.6,7.4,9.0,TFDA
天香洋香瓜,100 g,44.0,0.8,11.6,0.0,TFDA
太妃糖,100 g,438.0,2.7,75.6,13.9,TFDA
太空鴨,100 g,319.0,16.0,0.0,27.8,TFDA
太空鴨(去皮),100 g,102.0,20.1,0.0,1.8,TFDA
太陽洋香瓜,100 g,32.0,1.2,7.8,0.0,TFDA
太陽餅,100 g,460.0,5.3,63.6,20.5,TFDA
夾心餅乾(草莓),100 g,517.0,4.8,62.8,27.4,TFDA
奇亞子,100 g,483.0,21.7,34.8,31.8,TFDA
奇異果,100 g,56.0,1.1,14.0,0.3,TFDA
"奶油(固態,不加鹽)",100 g,733.0,0.6,0.9,82.7,TFDA
"奶油(固態,加鹽)",100 g,699.0,0.7,3.7,77.5,TFDA
奶油(液態),100 g,340.0,2.0,0.0,39.1,TFDA
奶油萵苣(日本種),100 g,16.0,1.1,2.6,0.3,TFDA
奶精粉,100 g,544.0,2.2,59.5,33.0,TFDA
奶精粉(2021年),100 g,550.0,2.1,57.6,34.6,TFDA
奶精粉(低脂),100 g,450.0,2.1,75.2,15.7,TFDA
奶茶(三合一),100 g,42.0,0.5,9.5,0.3,TFDA
奶茶沖泡包(三合一),100 g,452.0,1.7,82.3,12.9,TFDA
奶酥麵包,100 g,377.0,9.1,49.8,15.7,TFDA
姬松茸,100 g,40.0,4.0,6.9,0.4,TFDA
姬魚,100 g,104.0,24.1,0.0,0.2,TFDA
嫩莖萵苣,100 g,16.0,1.0,3.1,0.2,TFDA
嫩薑,100 g,21.0,0.0,4.8,0.3,TFDA
嫩豆腐,100 g,53.0,4.9,1.6,3.0,TFDA
孟加拉笛鯛,100 g,87.0,19.8,0.0,0.3,TFDA
孟宗竹筍,100 g,40.0,4.0,7.3,0.2,TFDA
安石榴,100 g,67.0,1.7,16.8,0.1,TFDA
宜蘭粉蔥,100 g,27.0,1.6,5.4,0.2,TFDA
密點少棘胡椒鯛,100 g,94.0,19.5,0.0,1.2,TFDA
富士蘋果,100 g,49.0,0.2,13.1,0.1,TFDA
富士蘋果(帶皮),100 g,45.0,0.2,11.9,0.1,TFDA
富有甜柿(大雪山),100 g,57.0,0.4,15.1,0.1,TFDA
富珍茸,100 g,37.0,3.0,6.8,0.4,TFDA
寒天脆藻,100 g,11.0,0.0,2.5,0.0,TFDA
寬粉,100 g,349.0,0.1,86.9,0.1,TFDA
將軍蜜梨,100 g,50.0,0.4,13.3,0.1,TFDA
小三角油豆腐,100 g,160.0,12.7,0.0,13.3,TFDA
小卷干,100 g,246.0,53.2,4.7,2.1,TFDA
小巧香腸,100 g,362.0,15.1,11.9,28.2,TFDA
小方豆干,100 g,161.0,17.4,3.5,8.6,TFDA
小玉西瓜,100 g,34.0,0.8,8.7,0.1,TFDA
小甜椒(青皮),100 g,35.0,1.4,6.8,0.5,TFDA
小番茄平均值(橙色系),100 g,31.0,1.1,6.9,0.2,TFDA
小番茄平均值(紅色系),100 g,33.0,0.9,7.4,0.2,TFDA
小白菜(土植)(10月取樣),100 g,11.0,1.1,1.7,0.2,TFDA
小白菜(土植)(1月取樣),100 g,10.0,1.2,1.5,0.2,TFDA
小白菜(土植)(3月取樣),100 g,14.0,1.2,2.4,0.1,TFDA
小白菜(土植)(4月取樣),100 g,13.0,1.1,2.2,0.2,TFDA
小白菜(土植)(7月取樣),100 g,10.0,1.0,1.8,0.1,TFDA
小白菜(有機)(10月取樣),100 g,13.0,1.3,1.9,0.2,TFDA
小白菜(有機)(1月取樣),100 g,9.0,1.8,0.8,0.2,TFDA
小白菜(有機)(4月取樣),100 g,14.0,1.3,2.4,0.2,TFDA
小白菜(有機)(7月取樣),100 g,11.0,1.3,1.7,0.1,TFDA
小白菜(水耕)(10月取樣),100 g,12.0,1.1,1.8,0.3,TFDA
小白菜(水耕)(1月取樣),100 g,13.0,1.5,2.1,0.1,TFDA
小白菜(水耕)(4月取樣),100 g,13.0,1.0,2.4,0.2,TFDA
小白菜(水耕)(7月取樣),100 g,12.0,0.9,2.4,0.1,TFDA
小籠包,100 g,242.0,9.6,15.9,15.5,TFDA
小米,100 g,370.0,11.3,71.7,3.7,TFDA
小羊腰脊肉,100 g,143.0,26.5,0.0,3.3,TFDA
小芋頭(山芋),100 g,113.0,2.3,22.8,1.2,TFDA
小茴香粉,100 g,411.0,19.5,37.0,25.8,TFDA
小馬鈴薯(珍珠馬鈴薯),100 g,59.0,1.7,12.8,0.0,TFDA
小魚干,100 g,335.0,69.2,0.0,4.4,TFDA
小麥,100 g,362.0,14.1,69.2,2.6,TFDA
小麥胚芽,100 g,417.0,31.4,47.9,11.6,TFDA
小麥苗,100 g,34.0,3.3,5.5,0.5,TFDA
小麥草粉,100 g,370.0,34.0,41.9,7.4,TFDA
小黃魚(去皮),100 g,100.0,20.0,0.0,1.6,TFDA
小黃魚(含皮),100 g,100.0,19.4,0.0,1.9,TFDA
尖嘴鱸(去皮),100 g,98.0,20.6,0.1,1.2,TFDA
尖嘴鱸(含皮),100 g,107.0,19.6,0.0,2.6,TFDA
尖鎖管,100 g,100.0,20.2,2.4,1.5,TFDA
尼羅口孵非鯽(去皮),100 g,113.0,20.4,0.0,2.9,TFDA
尼羅口孵非鯽(含皮),100 g,125.0,19.4,0.0,4.7,TFDA
尼羅口孵非鯽(含皮)(2022年取樣),100 g,122.0,20.4,3.0,3.9,TFDA
山東大蔥,100 g,31.0,1.3,6.7,0.1,TFDA
山楂,100 g,345.0,1.9,78.7,2.5,TFDA
山竹,100 g,69.0,0.6,18.1,0.3,TFDA
山粉圓,100 g,400.0,16.3,58.0,12.8,TFDA
山羊前腿肉片,100 g,123.0,21.3,0.0,3.5,TFDA
山羊帶皮羊肉塊,100 g,164.0,20.3,3.4,8.6,TFDA
山羊後腿肉火鍋片,100 g,170.0,18.9,0.1,9.9,TFDA
山芹菜,100 g,28.0,2.1,5.2,0.3,TFDA
山葵粉,100 g,387.0,10.1,72.9,6.1,TFDA
山葵醬,100 g,338.0,1.1,70.2,5.9,TFDA
山藥(中國長品),100 g,74.0,2.5,15.5,0.1,TFDA
山藥(二刺),100 g,89.0,2.7,18.9,0.1,TFDA
山藥(台農1號),100 g,93.0,2.6,19.9,0.1,TFDA
山藥(台農2號),100 g,95.0,3.2,19.9,0.1,TFDA
山藥(大刺),100 g,85.0,3.5,17.1,0.1,TFDA
山藥(大汕1號),100 g,80.0,2.4,17.0,0.1,TFDA
山藥(大汕3號),100 g,73.0,2.6,15.0,0.1,TFDA
山藥(宜蘭原生種),100 g,140.0,4.8,29.1,0.2,TFDA
山藥(尖石原生種),100 g,65.0,3.1,12.4,0.1,TFDA
山藥(白皮削),100 g,75.0,2.5,15.7,0.1,TFDA
山藥(白肉),100 g,69.0,2.1,14.4,0.1,TFDA
山藥(花蓮3號),100 g,93.0,1.7,20.9,0.1,TFDA
山藥(青森),100 g,94.0,2.6,19.9,0.2,TFDA
山藥(高田),100 g,71.0,3.1,14.0,0.1,TFDA
山藥平均值,100 g,85.0,2.8,17.8,0.1,TFDA
山蘇菜,100 g,26.0,3.0,4.4,0.2,TFDA
山豬肉片,100 g,466.0,11.9,0.0,46.0,TFDA
岩鹽,100 g,2.0,0.0,0.4,0.1,TFDA
巧克力冰淇淋,100 g,192.0,4.2,19.9,10.6,TFDA
巧克力夾心糖,100 g,403.0,0.7,93.7,2.8,TFDA
巧克力牛奶軟糖,100 g,422.0,3.4,76.7,11.3,TFDA
巧克力醬(液體),100 g,277.0,2.0,65.4,0.8,TFDA
巨峰葡萄,100 g,64.0,0.5,16.6,0.3,TFDA
布丁粉,100 g,419.0,2.7,86.1,7.1,TFDA
布氏鯧鰺(去皮),100 g,192.0,20.3,0.0,11.7,TFDA
布氏鯧鰺(含皮),100 g,190.0,17.5,0.0,12.8,TFDA
希氏姬鯛,100 g,91.0,21.1,0.5,0.1,TFDA
帶殼熟綠竹筍,100 g,25.0,2.0,4.9,0.1,TFDA
帶殼真牡蠣(生蠔),100 g,59.0,9.8,6.7,1.9,TFDA
帶殼花生(生),100 g,331.0,15.3,12.2,27.2,TFDA
帶殼龍眼乾,100 g,278.0,4.6,72.9,0.1,TFDA
帶膜花生仁(生)(1995年之前取樣),100 g,506.0,28.8,20.6,38.5,TFDA
帶膜花生仁(生)(2004年取樣),100 g,516.0,23.6,28.4,38.1,TFDA
帶骨去皮對切胸(肉雞),100 g,104.0,22.4,0.0,0.9,TFDA
帶骨帶皮對切胸(肉雞),100 g,219.0,19.3,0.0,15.1,TFDA
帶骨牛小排,100 g,360.0,13.1,0.4,33.7,TFDA
干貝(乾),100 g,256.0,58.5,15.5,0.7,TFDA
干貝(乾)平均值,100 g,242.0,53.7,10.8,1.4,TFDA
干貝(冷凍),100 g,57.0,12.7,1.7,0.4,TFDA
干貝醬,100 g,558.0,16.7,8.0,51.0,TFDA
平鯛,100 g,158.0,21.0,0.5,7.6,TFDA
幸水梨,100 g,34.0,0.4,9.0,0.0,TFDA
康氏馬加鰆切片(去皮),100 g,193.0,18.7,0.0,12.5,TFDA
康氏馬加鰆切片(含皮),100 g,176.0,19.3,1.5,10.4,TFDA
廣島野菜,100 g,16.0,1.7,2.9,0.0,TFDA
廣東粥,100 g,81.0,4.9,9.1,2.8,TFDA
廣東萵苣,100 g,20.0,1.0,4.0,0.2,TFDA
後刺尾鯛,100 g,102.0,20.4,0.0,1.7,TFDA
德國香腸,100 g,275.0,15.9,4.6,21.4,TFDA
意大利葡萄,100 g,52.0,0.5,13.7,0.1,TFDA
意麵,100 g,290.0,10.1,60.1,1.0,TFDA
愛文芒果,100 g,42.0,0.4,11.0,0.2,TFDA
愛玉子,100 g,407.0,12.2,63.7,12.5,TFDA
扁魚干,100 g,354.0,66.3,1.1,7.9,TFDA
披薩(夏威夷),100 g,270.0,12.0,35.9,8.7,TFDA
抱子芥菜,100 g,21.0,2.1,3.8,0.1,TFDA
抹茶粉,100 g,361.0,23.4,63.0,6.4,TFDA
拉麵,100 g,292.0,9.1,62.1,0.8,TFDA
拿鐵咖啡(無糖),100 g,43.0,3.0,3.4,2.0,TFDA
捲心酥,100 g,490.0,6.1,71.7,19.9,TFDA
排骨醬,100 g,221.0,2.3,43.1,4.4,TFDA
提拉米蘇(圓形),100 g,328.0,4.4,21.1,25.1,TFDA
擔仔麵,100 g,124.0,4.4,11.9,6.5,TFDA
敏豆莢,100 g,30.0,1.7,5.3,0.2,TFDA
文旦,100 g,34.0,0.7,8.8,0.1,TFDA
文旦(2023年取樣),100 g,48.0,0.6,12.7,0.0,TFDA
文蛤,100 g,37.0,7.6,2.7,0.5,TFDA
斑帶石斑魚,100 g,90.0,20.2,0.0,0.5,TFDA
斑海鯰,100 g,86.0,19.2,0.0,0.5,TFDA
斑鰭飛魚,100 g,94.0,22.0,0.2,0.1,TFDA
斑鱧,100 g,119.0,18.3,0.0,4.5,TFDA
斑鱵,100 g,91.0,20.6,0.3,0.3,TFDA
斑點九刺鮨(去皮),100 g,82.0,18.8,0.9,0.2,TFDA
斑點九刺鮨(含皮),100 g,84.0,19.4,0.0,0.1,TFDA
斑點雞籠鯧,100 g,97.0,21.9,0.0,0.4,TFDA
斯氏長鰭烏魴,100 g,97.0,22.4,0.0,0.1,TFDA
新世紀梨,100 g,42.0,0.4,10.7,0.2,TFDA
新疆哈密瓜,100 g,28.0,0.7,6.9,0.1,TFDA
新興梨,100 g,44.0,0.2,11.9,0.1,TFDA
方塊酥,100 g,509.0,7.1,66.1,24.1,TFDA
方糖,100 g,385.0,,99.6,,TFDA
旗魚切片,100 g,111.0,26.0,0.8,0.0,TFDA
旗魚肚,100 g,99.0,22.5,2.9,0.4,TFDA
旗魚腹肉,100 g,105.0,22.2,0.0,1.1,TFDA
旗魚鬆,100 g,481.0,31.3,37.4,22.9,TFDA
日式炸豆皮,100 g,388.0,19.2,4.9,32.4,TFDA
日式照燒醬,100 g,227.0,3.0,52.6,0.5,TFDA
日本南瓜,100 g,86.0,0.6,20.8,0.4,TFDA
日本對蝦(大),100 g,97.0,21.6,0.0,0.5,TFDA
日本對蝦(小),100 g,96.0,20.9,1.8,0.8,TFDA
日本對蝦平均值,100 g,97.0,21.3,0.4,0.7,TFDA
日本油菜(有機),100 g,20.0,1.5,3.3,0.4,TFDA
日本玻璃蝦,100 g,83.0,16.2,2.0,1.5,TFDA
日本甜蔥,100 g,33.0,1.0,7.6,0.1,TFDA
日本竹筴魚,100 g,116.0,23.0,0.0,2.0,TFDA
日本紅目大眼鯛,100 g,97.0,19.6,0.0,1.5,TFDA
日本花鱸((11月),100 g,99.0,20.5,0.1,1.3,TFDA
日本花鱸((12月),100 g,101.0,19.6,0.4,1.9,TFDA
日本花鱸((3月),100 g,100.0,20.0,0.5,1.6,TFDA
日本花鱸((8月),100 g,95.0,19.0,1.5,1.6,TFDA
日本花鱸(2月),100 g,95.0,20.1,1.9,1.0,TFDA
日本花鱸(含皮),100 g,111.0,19.2,0.8,3.2,TFDA
日本花鱸平均值,100 g,98.0,19.9,0.9,1.5,TFDA
日本茼蒿(有機),100 g,26.0,1.9,4.8,0.2,TFDA
日本銀帶鯡(加工),100 g,111.0,21.5,1.2,2.1,TFDA
日本銀帶鯡魚干(丁香魚脯),100 g,275.0,51.8,1.7,6.0,TFDA
日本馬頭魚,100 g,85.0,18.7,0.0,0.6,TFDA
日本鰻鱺魚片(生),100 g,254.0,18.1,0.0,19.6,TFDA
日本鰻鱺魚片(蒲燒),100 g,272.0,25.0,0.9,18.7,TFDA
日本龍蝦,100 g,93.0,21.5,1.0,0.1,TFDA
明日葉,100 g,57.0,1.4,11.9,0.8,TFDA
明蝦仁,100 g,52.0,11.9,0.0,0.1,TFDA
星斑真鯧,100 g,214.0,15.6,0.0,16.3,TFDA
星雞魚,100 g,99.0,20.6,0.4,1.2,TFDA
春捲皮,100 g,241.0,8.3,50.4,0.7,TFDA
昭和草,100 g,26.0,2.2,3.8,0.7,TFDA
月餅(棗泥),100 g,419.0,6.0,57.9,18.2,TFDA
朝天椒(圓果),100 g,103.0,4.9,21.9,0.5,TFDA
朝天椒(長果),100 g,90.0,3.4,17.9,1.3,TFDA
朝鮮醬,100 g,106.0,1.6,19.7,2.3,TFDA
木瓜(11月取樣),100 g,44.0,0.4,11.8,0.1,TFDA
木瓜(2月取樣),100 g,31.0,0.7,7.7,0.1,TFDA
木瓜(5月取樣),100 g,44.0,0.7,11.3,0.1,TFDA
木瓜(8月取樣),100 g,33.0,0.5,8.8,0.0,TFDA
木瓜平均值,100 g,38.0,0.6,9.9,0.1,TFDA
木瓜牛奶,100 g,42.0,1.7,7.7,0.6,TFDA
木耳,100 g,38.0,0.9,8.8,0.1,TFDA
木薯粉,100 g,362.0,0.1,87.3,0.2,TFDA
本島萵苣(土植)(10月取樣),100 g,14.0,1.1,2.2,0.3,TFDA
本島萵苣(土植)(1月取樣),100 g,17.0,1.6,2.5,0.4,TFDA
本島萵苣(土植)(3月取樣),100 g,18.0,0.3,3.8,0.3,TFDA
本島萵苣(土植)(4月取樣),100 g,17.0,0.9,3.3,0.2,TFDA
本島萵苣(土植)(7月取樣),100 g,23.0,1.4,4.4,0.3,TFDA
本島萵苣(有機)(10月取樣),100 g,15.0,1.3,2.3,0.3,TFDA
本島萵苣(有機)(1月取樣),100 g,15.0,1.8,2.6,0.0,TFDA
本島萵苣(有機)(4月取樣),100 g,19.0,1.1,3.5,0.3,TFDA
本島萵苣(有機)(7月取樣),100 g,17.0,1.5,2.7,0.3,TFDA
本島萵苣(水耕)(10月取樣),100 g,12.0,1.1,1.6,0.3,TFDA
本島萵苣(水耕)(1月取樣),100 g,14.0,1.6,2.1,0.2,TFDA
本島萵苣(水耕)(4月取樣),100 g,15.0,1.0,2.7,0.2,TFDA
本島萵苣(水耕)(7月取樣),100 g,13.0,1.4,1.9,0.2,TFDA
李子平均值(紅皮紅肉),100 g,39.0,0.6,9.6,0.3,TFDA
李子平均值(紅皮黃肉),100 g,48.0,0.7,11.9,0.3,TFDA
李子平均值(青皮黃肉),100 g,48.0,0.7,11.7,0.4,TFDA
李林蕉(2007年取樣),100 g,102.0,1.4,26.3,0.3,TFDA
李林蕉(2012年取樣),100 g,111.0,1.5,29.2,0.1,TFDA
杏仁茶沖泡包,100 g,399.0,3.5,84.7,5.2,TFDA
杏仁霜,100 g,554.0,9.7,47.1,36.4,TFDA
杏香菇,100 g,26.0,2.7,4.6,0.1,TFDA
杏鮑菇(中),100 g,40.0,2.5,8.2,0.2,TFDA
杏鮑菇(大),100 g,37.0,2.4,7.5,0.1,TFDA
杏鮑菇(小),100 g,47.0,3.2,9.2,0.3,TFDA
杏鮑菇平均值,100 g,41.0,2.7,8.3,0.2,TFDA
杜氏刺尾鯛,100 g,137.0,19.1,0.6,6.2,TFDA
杜氏鰤,100 g,115.0,21.9,0.2,2.4,TFDA
東方異腕蝦,100 g,78.0,17.7,0.0,0.3,TFDA
松子仁(生),100 g,678.0,16.6,9.4,69.5,TFDA
松茸,100 g,36.0,3.1,5.9,0.5,TFDA
松茸白菇,100 g,38.0,5.1,5.3,0.5,TFDA
松鯛,100 g,98.0,18.2,0.1,2.3,TFDA
板腱,100 g,166.0,19.8,0.2,9.0,TFDA
枇杷,100 g,38.0,0.3,9.8,0.2,TFDA
枇杷糖,100 g,394.0,0.2,98.0,0.1,TFDA
果凍,100 g,91.0,,22.3,0.2,TFDA
果寡糖,100 g,300.0,,77.5,,TFDA
果汁醋飲料(綜合),100 g,37.0,,9.3,,TFDA
果糖,100 g,297.0,,76.9,,TFDA
枸杞乾,100 g,347.0,12.3,77.8,1.3,TFDA
柚子果醬,100 g,268.0,0.6,64.5,0.8,TFDA
柳松菇,100 g,36.0,3.7,6.0,0.3,TFDA
柳橙,100 g,44.0,0.8,11.0,0.1,TFDA
柳橙汁(100%),100 g,48.0,0.6,10.7,0.3,TFDA
柳橙汁(非原汁),100 g,50.0,0.1,12.3,0.1,TFDA
柴魚片,100 g,383.0,76.5,2.6,6.2,TFDA
柿餅,100 g,196.0,1.7,52.2,0.2,TFDA
栗子(生),100 g,264.0,4.6,57.9,1.4,TFDA
栗子仁(生),100 g,176.0,3.7,38.7,0.7,TFDA
栗子南瓜,100 g,86.0,1.4,20.7,0.2,TFDA
核桃油,100 g,883.0,0.0,0.0,99.9,TFDA
核棗糕,100 g,425.0,2.5,71.1,14.6,TFDA
根菾菜根,100 g,27.0,1.2,6.0,0.1,TFDA
根菾菜根(2023年取樣),100 g,37.0,1.2,8.6,0.0,TFDA
桂竹筍片,100 g,19.0,1.0,3.3,0.2,TFDA
桃太郎番茄,100 g,17.0,0.7,4.0,0.0,TFDA
桃接李(大),100 g,38.0,0.6,9.2,0.3,TFDA
桃接李(小),100 g,36.0,0.7,8.6,0.3,TFDA
桑葚,100 g,32.0,1.1,7.0,0.4,TFDA
桑葚果醬,100 g,227.0,0.9,54.9,0.4,TFDA
桑葚汁,100 g,25.0,0.8,5.9,0.2,TFDA
梅乾菜,100 g,116.0,5.5,20.8,1.1,TFDA
梅子粉,100 g,286.0,2.0,60.8,3.9,TFDA
"條狀火腿(牛肉,黑胡椒)",100 g,113.0,18.9,4.1,2.3,TFDA
條狀火腿(豬肉),100 g,145.0,16.2,11.5,3.8,TFDA
條狀肉乾(豬肉),100 g,345.0,43.2,25.1,7.9,TFDA
條紋狼鱸,100 g,147.0,21.4,0.0,6.2,TFDA
梨山甘藍(尖球形),100 g,24.0,1.4,5.1,0.1,TFDA
梨山蜜梨,100 g,47.0,0.3,12.7,0.0,TFDA
棉花糖,100 g,331.0,3.2,78.9,0.3,TFDA
棒棒腿(土雞),100 g,143.0,21.0,0.0,5.9,TFDA
棒棒腿(肉雞),100 g,159.0,16.8,0.3,9.7,TFDA
棒棒腿平均值,100 g,151.0,18.9,0.0,7.8,TFDA
棕點石斑魚,100 g,115.0,19.1,0.0,3.7,TFDA
棺材板,100 g,264.0,7.0,19.7,17.5,TFDA
植物燕麥奶粉(營養強化),100 g,437.0,12.0,67.5,13.2,TFDA
椪柑,100 g,40.0,0.8,10.0,0.2,TFDA
椰奶,100 g,49.0,0.2,7.4,2.1,TFDA
椰子油,100 g,883.0,0.0,0.0,99.9,TFDA
椰子粉,100 g,629.0,7.2,27.8,60.3,TFDA
椰漿,100 g,208.0,1.1,0.0,23.1,TFDA
楊桃(11月取樣),100 g,31.0,0.4,8.0,0.0,TFDA
楊桃(2月取樣),100 g,29.0,0.4,7.6,0.1,TFDA
楊桃(4月取樣),100 g,32.0,0.7,8.1,0.1,TFDA
楊桃(5月取樣),100 g,34.0,0.6,8.7,0.1,TFDA
楊桃(9月取樣),100 g,33.0,0.5,8.8,0.0,TFDA
楊桃平均值,100 g,32.0,0.5,8.2,0.1,TFDA
楊桃汁(非原汁),100 g,49.0,0.0,12.0,0.1,TFDA
楓糖,100 g,258.0,0.1,66.6,0.1,TFDA
榛果牛奶巧克力,100 g,590.0,9.0,47.5,40.4,TFDA
榨菜,100 g,27.0,1.3,4.6,0.4,TFDA
榴槤,100 g,132.0,2.7,29.7,1.9,TFDA
榴槤蜜,100 g,124.0,1.6,32.6,0.1,TFDA
樹豆(白),100 g,325.0,22.1,59.4,0.8,TFDA
橄欖油,100 g,884.0,0.0,0.0,100.0,TFDA
橙蕃茄,100 g,32.0,1.2,7.0,0.2,TFDA
橫山梨,100 g,47.0,0.4,12.4,0.1,TFDA
橫紋九刺鮨,100 g,85.0,19.3,0.0,0.3,TFDA
橫紋鸚哥魚(含皮),100 g,81.0,18.9,0.0,0.0,TFDA
檳榔嫩莖,100 g,31.0,2.2,5.6,0.4,TFDA
檳榔心芋,100 g,121.0,1.3,28.1,0.0,TFDA
